iter	Passed	Remaining
406	5742	1608
407	5755	1594
408	5769	1579
409	5783	1565
410	5797	1551
411	5810	1537
412	5823	1522
413	5836	1508
414	5849	1494
415	5862	1479
416	5875	1465
417	5889	1451
418	5902	1436
419	5915	1422
420	5929	1408
421	5942	1394
422	5956	1379
423	5970	1365
424	5984	1351
425	5997	1337
426	6009	1322
427	6022	1308
428	6035	1294
429	6048	1280
430	6061	1265
431	6075	1251
432	6088	1237
433	6102	1223
434	6116	1209
435	6129	1194
436	6142	1180
437	6156	1166
438	6170	1152
439	6184	1138
440	6200	1124
441	6214	1110
442	6228	1096
443	6244	1082
444	6259	1069
445	6274	1055
446	6287	1040
447	6301	1026
448	6316	1012
449	6331	998
450	6345	984
451	6359	970
452	6374	956
453	6388	942
454	6402	928
455	6415	914
456	6429	900
457	6443	886
458	6457	872
459	6471	858
460	6486	844
461	6500	830
462	6514	816
463	6528	802
464	6542	787
465	6556	773
466	6570	759
467	6583	745
468	6597	731
469	6611	717
470	6625	703
471	6639	689
472	6652	675
473	6666	660
474	6680	646
475	6693	632
476	6707	618
477	6721	604
478	6734	590
479	6747	576
480	6760	562
481	6773	548
482	6786	533
483	6799	519
484	6812	505
485	6824	491
486	6838	477
487	6851	463
488	6865	449
489	6879	435
490	6893	421
491	6907	407
492	6920	393
493	6933	378
494	6946	364
495	6960	350
496	6975	336
497	6988	322
498	7002	308
499	7015	294
500	7029	280
501	7043	266
502	7055	252
503	7069	238
504	7084	224
505	7098	210
506	7112	196
507	7127	182
508	7141	168
509	7156	154
510	7168	140
511	7183	126
512	7197	112
513	7211	98
514	7225	84
515	7240	70
516	7254	56
517	7268	42
518	7281	28
519	7294	14
520	7308	0
