iter	RMSE
132	1679.558945
133	1678.228379
134	1677.076526
135	1675.814957
136	1674.824185
137	1674.056663
138	1672.891966
139	1671.927486
140	1670.706618
141	1669.668975
142	1668.541667
143	1667.720592
144	1666.569076
145	1665.608253
146	1664.599814
147	1663.273533
148	1662.404769
149	1661.373515
150	1660.576986
151	1659.732194
152	1658.979152
153	1657.815688
154	1657.067122
155	1656.145124
156	1655.293515
157	1654.050018
158	1653.304822
159	1652.467322
160	1651.716164
161	1650.861256
162	1649.76546
163	1648.875344
164	1648.218499
165	1647.279683
166	1646.425563
167	1645.721083
168	1645.074559
169	1644.303526
170	1643.643878
171	1642.831078
172	1642.170733
173	1641.387868
174	1640.625624
175	1639.907656
176	1639.223503
177	1638.667975
178	1637.870626
179	1637.129716
180	1636.285076
181	1635.44817
182	1634.86551
183	1634.219095
184	1633.644451
185	1632.629697
186	1631.90297
187	1631.161004
188	1630.225918
189	1629.699925
190	1629.12703
191	1628.677457
192	1628.02359
193	1627.280014
194	1626.616964
195	1626.174558
196	1625.470756
197	1624.794624
198	1624.055938
199	1623.222055
200	1622.641791
201	1622.100732
202	1621.476518
203	1620.908213
204	1620.310592
205	1619.886603
206	1619.160183
207	1618.656244
208	1618.149344
209	1617.577875
210	1617.039624
211	1616.610865
212	1616.011051
213	1615.54693
214	1614.961491
215	1614.546955
216	1613.953717
217	1613.418338
218	1612.254398
219	1611.659061
220	1611.054369
221	1610.381097
222	1609.740636
223	1609.344915
224	1608.907376
225	1608.29229
226	1607.723105
227	1607.257246
228	1606.76674
229	1606.285793
230	1605.880162
231	1605.266646
232	1604.665305
233	1604.161508
234	1603.682095
235	1603.313218
236	1602.63657
237	1602.164424
238	1601.4014
239	1600.893668
240	1600.440948
241	1599.491143
242	1598.981134
243	1598.436915
244	1598.023905
245	1597.503066
246	1597.198708
247	1596.900787
248	1596.552121
249	1596.061555
250	1595.720458
251	1595.009863
252	1594.681007
253	1594.298228
254	1593.685602
255	1593.185222
256	1592.755313
257	1592.393781
258	1591.839957
259	1591.482522
260	1590.916499
261	1590.266307
262	1589.891811
263	1589.377839
264	1588.97273
265	1588.480434
266	1587.879716
267	1587.461752
268	1586.832291
269	1586.341296
270	1585.95398
271	1585.500508
272	1585.184458
273	1584.867569
274	1584.326954
275	1583.820781
276	1583.385138
277	1583.089336
278	1582.599047
279	1582.121909
280	1581.652925
281	1581.269052
282	1580.86187
283	1580.632379
284	1580.064141
285	1579.712659
286	1579.120776
287	1578.569302
288	1578.145255
289	1577.873327
290	1577.30231
291	1577.051764
292	1576.649405
293	1576.190914
294	1575.958595
295	1575.647684
296	1575.281294
297	1574.985726
298	1574.512334
299	1574.032921
300	1573.663366
301	1573.372223
302	1572.574661
303	1572.256097
304	1571.938344
305	1571.348617
306	1571.083769
307	1570.730211
308	1570.349687
309	1570.036238
310	1569.706363
311	1569.291667
312	1568.927962
313	1568.633918
314	1568.195419
315	1567.885138
316	1567.547834
317	1567.063911
318	1566.669692
319	1566.301502
320	1565.72155
321	1565.444131
322	1564.927974
323	1564.550446
324	1564.25098
325	1564.007724
326	1563.704104
327	1563.437056
328	1563.085405
329	1562.834045
330	1562.427542
331	1562.125565
332	1561.773828
333	1561.468932
334	1561.120968
335	1560.707359
336	1560.443359
337	1560.07219
338	1559.726256
339	1559.205894
340	1558.880823
341	1558.443531
342	1558.09076
343	1557.684825
344	1557.428741
345	1557.193486
346	1556.791066
347	1556.456053
348	1556.078565
349	1555.721144
350	1555.511018
351	1555.333266
352	1555.035737
353	1554.767994
354	1554.456116
355	1554.283034
356	1553.974617
357	1553.581499
358	1553.301119
359	1553.063816
360	1552.668804
361	1552.263442
362	1551.987519
363	1551.723856
364	1551.442206
365	1551.154779
366	1550.857207
367	1550.630995
368	1550.288109
369	1550.011322
370	1549.675377
371	1549.414905
372	1549.178092
373	1548.92816
374	1548.533069
375	1548.215169
376	1547.806548
377	1547.517753
378	1547.235047
379	1546.782619
380	1546.505853
381	1546.15993
382	1545.962971
383	1545.647072
384	1545.437038
385	1545.078639
386	1544.815497
387	1544.62117
388	1544.363167
389	1544.081146
390	1543.734323
391	1543.480197
392	1543.078895
393	1542.72494
394	1542.369205
395	1542.008245
396	1541.639502
397	1541.345932
398	1541.073821
399	1540.765037
400	1540.537878
401	1540.291895
402	1539.991841
403	1539.740791
404	1539.353321
405	1539.065811
406	1538.889264
407	1538.605459
408	1538.408729
409	1538.211542
410	1537.812823
411	1537.521355
412	1537.267944
413	1536.995009
414	1536.8229
415	1536.554648
416	1536.35308
417	1535.997203
418	1535.746704
419	1535.450005
420	1535.099056
421	1534.87112
422	1534.551258
423	1534.279953
424	1534.060531
425	1533.846812
426	1533.534155
427	1533.069497
428	1532.744812
429	1532.602392
430	1532.366466
431	1532.172245
432	1531.836486
433	1531.490368
434	1531.279752
435	1530.980419
436	1530.754011
437	1530.436126
438	1530.122572
439	1529.82803
440	1529.537093
441	1529.364621
442	1528.935773
443	1528.705405
444	1528.433732
445	1528.159779
446	1527.781865
447	1527.469149
448	1527.242004
449	1526.980186
450	1526.680933
451	1526.473743
452	1526.188936
453	1525.944076
454	1525.752002
455	1525.21305
456	1524.955572
457	1524.66767
458	1524.389936
459	1524.200091
460	1523.914953
461	1523.723725
462	1523.379713
463	1523.082661
464	1522.750084
465	1522.537547
466	1522.336922
467	1522.135435
468	1521.826507
469	1521.561413
470	1521.361507
471	1521.140854
472	1520.935025
473	1520.758732
474	1520.600088
475	1520.404304
476	1520.076752
477	1519.912738
478	1519.699859
479	1519.525277
480	1519.31742
481	1519.07478
482	1518.806239
483	1518.627396
484	1518.433724
485	1518.232148
486	1517.964275
487	1517.723071
488	1517.566271
489	1517.246218
490	1516.945017
491	1516.762856
492	1516.592003
493	1516.446729
494	1516.266237
495	1515.957437
496	1515.676856
497	1515.34238
498	1515.123238
499	1514.917155
500	1514.725699
501	1514.452465
502	1514.310665
503	1514.097475
504	1513.866139
505	1513.614081
506	1513.353306
507	1512.868069
508	1512.667022
509	1512.325398
510	1512.091412
511	1511.854852
512	1511.504067
513	1511.190137
514	1510.938083
515	1510.769783
516	1510.447994
517	1510.237868
518	1510.0657
519	1509.935121
520	1509.678411
